,Напряжение бортовой сети,Количество топлива,Напряжение аккумуляторной батареи,Оценка риска,Источник риска
1810,12.197709,39.884721,12.2,0.21383751025885908,Неустойчивое напряжение бортовой сети
1820,12.412648,39.849963,12.2,0.23170094783054423,Неустойчивое напряжение бортовой сети
1830,12.37339,39.815853,12.2,0.23842539536069407,Неустойчивое напряжение бортовой сети
1840,12.197633,39.783516,12.2,0.24104951687138448,Неустойчивое напряжение бортовой сети
1850,12.197581,39.750665,12.2,0.24217869368870384,Неустойчивое напряжение бортовой сети
1860,12.197531,39.717538,12.2,0.24274971328792183,Неустойчивое напряжение бортовой сети
1870,12.197484,39.684703,12.2,0.2429973211967414,Неустойчивое напряжение бортовой сети
1880,12.197437,39.652673,12.2,0.24324379240515975,Неустойчивое напряжение бортовой сети
1890,12.197387,39.62099,12.2,0.24348649745038356,Неустойчивое напряжение бортовой сети
1900,12.197334,39.588486,12.2,0.24372708482538302,Неустойчивое напряжение бортовой сети
1910,12.33297,39.554005,12.2,0.24397144549466354,Неустойчивое напряжение бортовой сети
1920,12.37126,39.518673,12.2,0.24421628354273986,Неустойчивое напряжение бортовой сети
1930,12.40087,39.481215,12.2,0.24446554080810748,Неустойчивое напряжение бортовой сети
1940,12.394577,39.439773,12.2,0.24472645678311533,Неустойчивое напряжение бортовой сети
1950,12.358166,39.396629,12.2,0.2450102937986381,Неустойчивое напряжение бортовой сети
1960,12.315335,39.356677,12.2,0.24531070981886244,Неустойчивое напряжение бортовой сети
1970,12.197293,39.324649,12.2,0.2456031615523252,Неустойчивое напряжение бортовой сети
1980,12.349831,39.282077,12.2,0.24586450778053454,Неустойчивое напряжение бортовой сети
1990,12.385665,39.230586,12.2,0.2461554008831314,Неустойчивое напряжение бортовой сети
2000,12.390584,39.173999,12.2,0.24649874609049988,Неустойчивое напряжение бортовой сети
2010,12.358389,39.133755,12.2,0.24688577654901858,Неустойчивое напряжение бортовой сети
2020,12.320492,39.090668,12.2,0.247213868900305,Неустойчивое напряжение бортовой сети
2030,12.310059,39.043272,12.2,0.2475341782848306,Неустойчивое напряжение бортовой сети
2040,12.336681,38.994051,12.2,0.24787205334028894,Неустойчивое напряжение бортовой сети
2050,12.375883,38.946466,12.2,0.24822531652598304,Неустойчивое напряжение бортовой сети
2060,12.418541,38.903563,12.2,0.22675114442924013,Неустойчивое напряжение бортовой сети
2070,12.396349,38.862684,12.2,0.2190621083818753,Неустойчивое напряжение бортовой сети
2080,12.356626,38.821252,12.2,0.21643476404079104,Неустойчивое напряжение бортовой сети
2090,12.335896,38.777321,12.2,0.21567263820188984,Неустойчивое напряжение бортовой сети
2100,12.353217,38.732301,12.2,0.21560968338472564,Неустойчивое напряжение бортовой сети
2110,12.320673,38.688654,12.2,0.21595710295943896,Неустойчивое напряжение бортовой сети
2120,12.345974,38.648648,12.2,0.2142106321143133,Неустойчивое напряжение бортовой сети
2130,12.333872,38.610214,12.2,0.21376881932278172,Неустойчивое напряжение бортовой сети
2140,12.295489,38.567495,12.2,0.213799547683305,Неустойчивое напряжение бортовой сети
